inscricao;deferimento;renda_mensal
90101;0;1811.6625
90104;1;454.555
90106;1;400.0
90111;1;1068.5366666666666
90116;1;500.0
90117;1;1028.9733333333334
90121;1;162.33333333333334
90122;1;1360.8833333333334
90127;1;1212.9633333333334
90128;1;323.9925
90132;1;75.0
90136;0;400.0
90137;1;703.75
90138;1;333.3333333333333
90139;1;640.0
90141;1;625.2
90149;1;372.33
90150;1;437.6025
90158;1;218.898
90162;1;636.0
90167;1;1378.325
90170;1;858.7199999999999
90175;1;471.1025
90176;1;890.0
90186;1;739.3520000000001
90187;1;600.0
90188;1;744.35
90190;1;352.0
90193;1;306.0
90202;1;528.3333333333334
90208;1;476.3333333333333
90210;0;900.0
90211;1;673.2775
90212;1;312.3333333333333
90214;1;500.0
90216;1;273.25
90218;1;348.6666666666667
90219;0;608.5
90221;0;1200.0
90222;0;721.4766666666668
90226;1;600.0
90230;1;127.2
90231;1;462.0
90232;1;416.5
90233;1;431.365
90234;1;733.3333333333334
90236;0;400.0
90238;0;453.5825
90241;0;500.0
90243;1;1199.3799999999999
90244;1;630.0
90245;1;400.0
90246;0;336.3975
90247;1;475.0
90250;0;0.0
90259;1;407.0
90262;1;312.3333333333333
90263;1;393.625
90266;1;1290.67
90267;1;880.6666666666666
90273;1;312.3333333333333
90274;0;94.2
90275;1;283.3333333333333
90276;1;450.5225
90277;0;1500.0
90278;0;2162.516666666667
90280;1;192.8
90284;0;456.3157142857143
90290;1;160.83333333333334
90291;1;752.8425
90296;1;703.5
90297;1;655.89
90298;1;400.0
90300;1;678.88
90306;1;875.0
90308;0;1388.6666666666667
90309;0;1133.5675
90315;1;337.0
90319;1;881.4
90320;1;310.0
90321;1;300.0
90324;1;950.0
90332;0;600.0
90334;1;476.0
90338;1;350.0
90346;1;636.0
90351;0;300.0
90361;1;636.0
90362;1;636.0
90364;1;680.11
90365;1;570.0
90371;0;875.0
90376;0;200.0
90377;1;473.628
90579;1;300.0
91576;1;1125.0
92853;1;351.956
93017;1;660.0033333333333
93023;1;312.67333333333335
93175;1;833.3400000000001
93218;1;349.3333333333333
93679;1;666.6666666666666
93732;1;436.00600000000014
94025;1;300.0
94388;1;296.2
94615;1;550.0
95256;1;1090.0
95295;1;1139.575
95466;1;854.325
95481;0;468.5
95501;1;636.0
95538;1;560.0
95541;1;477.005
95545;1;350.0
95551;1;466.6666666666667
95554;0;1414.0
95566;1;625.0
95586;1;0.0
95598;1;233.34
95605;0;303.832
95609;1;700.0
95615;1;413.6666666666667
95617;1;500.0
95625;1;534.25
95654;1;559.44
95685;1;238.5
95687;1;492.5
95696;1;264.8333333333333
95699;1;604.8475
95702;1;400.0
95704;1;468.5
95707;1;612.3333333333334
95712;1;450.0
95721;1;534.5
95723;1;0.0
95728;1;482.5
95734;1;477.0
95751;1;300.0
95752;1;225.0
95757;1;424.53
95765;1;960.0
95770;1;622.5
95777;1;352.0
95778;1;616.5625
95780;0;120.0
95783;1;375.0
95787;1;760.0
95789;0;200.0
95791;1;251.25
95793;1;1065.0
95800;1;723.5975
95803;1;333.3333333333333
95806;1;360.0
95809;1;1657.6225
95810;1;375.0
95811;1;214.22
95817;1;543.0833333333334
95819;1;0.0
95822;1;0.0
95823;1;477.0
95843;1;163.5
95847;1;613.5
95848;1;395.0
95850;1;266.6666666666667
95854;1;687.64
95856;1;518.0
95858;1;250.0
95859;1;500.0
95860;1;575.0
95862;1;813.0
95864;1;590.8
95865;0;234.25
95866;1;0.0
95869;1;873.0
95870;1;318.0
95872;1;0.0
95875;1;250.0
95880;0;137.0
95886;1;1214.7450000000001
95894;1;1104.495
95899;1;325.0
95900;0;1894.0075
95902;1;422.01
95906;1;333.3333333333333
95911;1;1123.5
95913;0;320.0
95914;1;0.0
95916;1;655.0
95918;1;450.0
95921;0;318.0
95922;0;220.0
95926;1;200.0075
95927;0;300.0
