INSCRICAO;LABEL;RENDA_MEDIA
96535;n;526.1666666666666
96545;n;750.0
96556;n;1000.0
96561;n;314.0
96564;n;486.8916666666667
96577;n;320.0
96584;n;0.0
96591;n;318.0
96597;n;0.0
96602;n;750.0
96604;n;370.0
96612;n;483.3333333333333
96628;n;225.33333333333334
96641;n;1815.0766666666666
96653;n;663.7825
96666;n;2578.682
96675;n;550.0
96696;n;900.0
96697;n;823.5
96700;n;2000.0
96703;n;2000.0
96706;n;500.0
96708;n;442.33
96718;n;1361.315
96725;n;1385.95
96726;n;200.0
96767;n;1824.8775
96788;n;463.82666666666665
96790;n;1457.4725
96795;n;357.14285714285717
96796;n;500.0
96799;n;0.0
96804;n;0.0
96819;n;475.2
96835;n;1333.3333333333333
96840;n;504.512
96859;n;840.0
96860;n;1200.0
96866;n;1050.0
96871;n;300.0
96877;n;1188.9333333333334
96878;n;712.8
96889;n;137.5
96890;n;500.0
96925;n;0.0
96926;n;1919.7525
96941;n;750.0
96946;n;1100.0
96954;n;979.8
96957;n;340.0
96966;n;714.2633333333333
96991;n;600.0
96994;n;764.85
97007;n;985.0
97014;n;1269.955
97024;n;600.0
97086;n;500.0
97095;n;400.5
97100;n;736.0
97106;n;346.0
97112;n;250.0
97114;n;1344.775
97124;n;456.6066666666666
97125;n;404.1066666666666
97144;n;337.5075
97178;n;2257.755
97181;n;729.86
97208;n;742.3333333333334
97246;n;0.0
97250;n;972.25
97270;n;43.75
97276;n;750.0
97286;n;690.5
97300;n;150.8775
97306;n;930.0
97316;n;898.0
97324;n;500.0
97328;n;1489.69
97339;n;1477.14
97340;n;343.3333333333333
97343;n;512.6666666666666
97347;n;1439.3333333333333
97354;n;893.5
97356;n;497.53600000000006
97362;n;1407.1125000000002
97364;n;455.0
97372;n;429.3
97373;n;532.5
97377;n;477.0
97378;n;381.6666666666667
97380;n;2668.9
97384;n;475.0
97386;n;384.6666666666667
97417;n;1078.8525
97426;n;312.5
97432;n;863.0066666666667
97442;n;1687.8025000000002
97445;n;636.0
97451;n;0.0
97453;n;450.0
97456;n;1311.7066666666667
97459;n;400.0
97463;n;549.6733333333333
97465;n;1900.0
97476;n;480.0
97482;n;318.0
97483;n;500.0
97484;n;500.0
97486;n;0.0
97491;n;1065.0
97499;n;817.49
97505;n;527.6033333333334
97510;n;616.6666666666666
97511;n;1000.0
97517;n;770.0
97526;n;458.3333333333333
97543;n;318.0
97565;n;0.0
97567;n;468.35166666666663
97594;n;577.25
97597;n;300.0
97598;n;333.3333333333333
97603;n;890.2283333333334
97604;n;569.0825
97606;n;996.6666666666666
97615;n;1124.25
97626;n;318.0
97634;n;212.5
97655;n;673.9066666666666
97656;n;1077.3333333333333
97660;n;857.3333333333334
97662;n;700.0
97665;n;345.75
97666;n;0.0
97667;n;992.0
97668;n;0.01
97672;n;673.9066666666666
97682;n;1050.0
97685;n;940.73
97688;n;1402.565
97703;n;1165.2
97705;n;477.0
97710;n;1346.925
97725;n;382.5
97733;n;1576.804285714286
97734;n;840.2133333333333
97739;n;300.0
97747;n;424.6666666666667
97755;n;581.0799999999999
97757;n;1250.0
97762;n;1200.0
97769;n;0.0
97773;n;1378.3333333333333
97774;n;700.37
97775;n;1300.0
97788;n;1250.0
97791;n;800.0
97795;n;1094.8700000000001
97808;n;1390.955
97816;n;900.0
97823;n;619.4200000000001
97825;n;520.0
97827;n;802.6666666666666
97831;n;1076.3274999999999
97832;n;1207.0
97833;n;400.0
97841;n;1325.0
97842;n;1247.015
97844;n;902.558
97857;n;1875.0
97859;n;239.5
97864;n;508.8
97865;n;318.0
97870;n;0.0
97872;n;1300.0
97874;n;770.4575
97886;n;342.66499999999996
97895;n;770.4575
97907;n;775.0
97914;n;775.0
97915;n;300.0
97920;n;330.004
97921;n;220.00799999999998
97924;n;0.0
97938;n;266.6666666666667
97940;n;833.3333333333334
97948;n;453.1933333333333
97967;n;1250.0
97969;n;906.0
97970;n;663.75
97971;n;0.0
