INSCRICAO;LABEL;RENDA_MEDIA
88639;s;640.7766666666666
88641;s;200.0
88645;s;733.3266666666667
88646;s;800.7974999999999
88649;s;210.8
88655;s;166.66666666666666
88657;s;1075.0525
88663;s;320.65
88666;s;180.0
88671;s;559.25
88679;s;665.0
88680;s;500.005
88685;s;709.89
88688;s;815.2933333333334
88689;s;300.0
88695;s;312.3333333333333
88696;s;334.78000000000003
88707;s;900.0
88709;s;100.0
88710;s;400.0
88715;s;238.5
88716;s;615.135
88719;s;1227.6666666666667
88722;s;482.22333333333336
88723;s;834.44
88728;s;558.125
88729;s;590.0
88732;s;817.89
88733;s;949.38
88740;s;334.1666666666667
88741;s;536.34
88747;s;283.25
88748;s;666.6666666666666
88752;s;375.0075
88755;s;0.0
88756;s;773.105
88757;s;833.34
88760;s;833.3333333333334
88762;s;234.8
88763;s;366.6666666666667
88770;s;550.0
88771;s;568.1
88774;s;477.0
88776;s;275.0
88777;s;302.0
88784;s;918.8933333333334
88790;s;1039.3333333333333
88796;s;385.0
88802;s;570.45
88803;s;380.0
88804;s;727.7275
88806;s;868.2
88807;s;600.0
88810;s;318.0
88812;s;697.84
88813;s;504.625
88814;s;636.0
88820;s;997.5
88821;s;937.0
88823;s;398.6666666666667
88824;s;1187.5
88828;s;333.3333333333333
88833;s;325.0
88841;s;525.0
88842;s;651.7
88844;s;950.0
88845;s;1230.29
88846;s;1116.5
88854;s;815.1566666666666
88855;s;776.5733333333334
88857;s;1236.4025000000001
88859;s;600.0
88861;s;636.525
88864;s;1103.0149999999999
88865;s;75.83250000000001
88867;s;713.6666666666666
88869;s;627.0
88871;s;937.0
88872;s;477.0
88876;s;533.3333333333334
88879;s;751.2066666666666
88881;s;821.624
88882;s;374.0
88883;s;250.0
88886;s;374.0
88887;s;374.0
88899;s;413.0
88905;s;466.6666666666667
88906;s;375.16428571428565
88910;s;1116.388
88916;s;1333.3333333333333
88927;s;834.5066666666667
88944;s;578.25
88946;s;799.475
88948;s;655.0
88951;s;866.4
88953;s;250.0
88956;s;274.0
88958;s;991.8625
88961;s;500.0
88966;s;616.0
88971;s;765.0
88973;s;275.0
88977;s;732.25
88978;s;400.0
88980;s;1122.782
88983;s;200.0
88987;s;316.6666666666667
88988;s;712.3333333333334
88990;s;750.0
88993;s;477.68
89006;s;1199.76
89013;s;336.15
89017;s;685.6975
89022;s;1212.3333333333333
89028;s;332.3333333333333
89029;s;318.0
89036;s;421.65
89039;s;241.75
89045;s;517.5
89046;s;480.51750000000004
89047;s;436.6666666666667
89048;s;654.6025
89056;s;324.3333333333333
89061;s;300.0
89062;s;502.19400000000013
89075;s;450.0
89077;s;933.925
89083;s;1244.072
89086;s;831.3774999999999
89091;s;706.9533333333333
89092;s;500.0
89094;s;1051.234
89096;s;312.3333333333333
89105;s;1044.774
89111;s;1060.6
89120;s;783.71
89125;s;566.6666666666666
89128;s;190.8
89129;s;365.305
89134;s;482.4883333333334
89137;s;791.0099999999999
89147;s;555.8299999999999
89162;s;975.0
89164;s;425.0
89165;s;1361.78
89168;s;1015.0
89170;s;747.4
89181;s;750.0
89189;s;485.89833333333337
89199;s;1300.7725
89207;s;480.0
89211;s;1188.7925
89212;s;0.0
89215;s;250.0
89216;s;287.2875
89218;s;1243.8400000000001
89223;s;529.8333333333334
89226;s;635.5
89231;s;250.0
89236;s;468.47
89237;s;477.0
89242;s;948.3333333333334
89244;s;222.8
89251;s;505.6666666666667
89253;s;922.75
89254;s;1360.5
89263;s;430.67
89269;s;343.3333333333333
89271;s;690.9699999999999
89278;s;812.396
89280;s;333.3333333333333
89287;s;996.5
89291;s;318.0
89296;s;549.3333333333334
89300;s;973.65
89301;s;624.6666666666666
89324;s;652.6650000000002
89328;s;318.0
89330;s;559.0
89331;s;482.6666666666667
89335;s;582.5
89336;s;917.1375
89338;s;434.4
89346;s;266.6666666666667
89356;s;549.8225
89365;s;1088.0825
89368;s;1390.465
