id;inscricao;deferimento;rendaTotal
315;97457;s;750.0
316;97464;s;3070.2200000000003
317;97466;s;941.13
318;97468;s;1254.0
319;97473;s;1022.0
320;97475;s;2409.6400000000003
321;97484;n;500.0
322;97486;n;0.0
323;97491;n;1065.0
324;97496;s;954.02
325;97499;n;1634.98
326;97503;s;1922.03
327;97522;s;2355.3100000000004
328;97527;s;2900.01
329;97539;s;954.01
330;97540;s;2043.37
331;97541;s;1000.01
332;97544;s;984.65
333;97546;s;1899.79
334;97555;s;0.0
335;97565;n;0.0
336;97584;s;834.0
337;97586;s;1221.01
338;97599;s;2267.0
339;97602;s;2135.3400000000006
340;97617;s;1950.01
341;97622;s;3816.0
342;97637;s;2751.0
343;97643;s;2851.23
344;97644;s;2219.0
345;97650;s;3424.23
346;97651;s;0.0
347;97657;s;1000.03
348;97662;n;700.0
349;97666;n;0.0
350;97668;n;0.03
351;97670;s;954.01
352;97698;s;954.0
353;97699;s;2923.12
354;97700;s;0.0
355;97711;s;0.0
356;97716;s;986.22
357;97718;s;1692.02
358;97723;s;843.3299999999999
359;97724;s;2492.7700000000004
360;97728;s;2450.0
361;97731;s;3480.79
362;97734;n;2520.64
363;97745;s;3954.01
364;97746;s;2000.0
365;97752;s;2100.15
366;97753;s;0.0
367;97761;s;600.03
368;97762;n;3600.0
369;97764;s;1370.0
370;97765;s;954.01
371;97766;s;1001.0
372;97769;n;0.0
373;97774;n;2101.11
374;97777;s;2571.8900000000003
375;97793;s;1200.0
376;97805;s;400.0
377;97806;s;1000.0
378;97818;s;1976.0
379;97823;n;1858.2600000000002
380;97825;n;1040.0
381;97827;n;2408.0
382;97829;s;2000.02
383;97834;s;954.02
384;97850;s;1754.01
385;97870;n;0.0
386;97881;s;2250.0300000000007
387;97889;s;954.0
388;97898;s;1400.0
389;97901;s;2621.58
390;97903;s;1388.0
391;97908;s;1908.01
392;97920;n;1650.02
393;97921;n;1100.04
394;97924;n;0.0
395;97948;n;1359.58
396;97958;s;1474.0
397;97971;n;0.0
398;97981;s;956.01
399;97989;s;501.01
400;97991;s;1024.62
401;97993;s;1500.02
402;97996;s;1500.01
403;97998;s;2153.71
404;98003;s;0.01
405;98021;s;3738.130000000001
406;98041;s;1.0
