;codigo;deferimento;level_2;0
328;97527;s;renda_mensal;2900.01
329;97539;s;renda_mensal;954.01
330;97540;s;renda_mensal;2043.37
331;97541;s;renda_mensal;1000.01
332;97544;s;renda_mensal;984.65
333;97546;s;renda_mensal;1899.79
334;97555;s;renda_mensal;0.0
335;97565;n;renda_mensal;0.0
336;97584;s;renda_mensal;834.0
337;97586;s;renda_mensal;1221.01
338;97599;s;renda_mensal;2267.0
339;97602;s;renda_mensal;2135.3400000000006
340;97617;s;renda_mensal;1950.01
341;97622;s;renda_mensal;3816.0
342;97637;s;renda_mensal;2751.0
343;97643;s;renda_mensal;2851.23
344;97644;s;renda_mensal;2219.0
345;97650;s;renda_mensal;3424.23
346;97651;s;renda_mensal;0.0
347;97657;s;renda_mensal;1000.03
348;97662;n;renda_mensal;700.0
349;97666;n;renda_mensal;0.0
350;97668;n;renda_mensal;0.03
351;97670;s;renda_mensal;954.01
352;97698;s;renda_mensal;954.0
353;97699;s;renda_mensal;2923.12
354;97700;s;renda_mensal;0.0
355;97711;s;renda_mensal;0.0
356;97716;s;renda_mensal;986.22
357;97718;s;renda_mensal;1692.02
358;97723;s;renda_mensal;843.3299999999999
359;97724;s;renda_mensal;2492.7700000000004
360;97728;s;renda_mensal;2450.0
361;97731;s;renda_mensal;3480.79
362;97734;n;renda_mensal;2520.64
363;97745;s;renda_mensal;3954.01
364;97746;s;renda_mensal;2000.0
365;97752;s;renda_mensal;2100.15
366;97753;s;renda_mensal;0.0
367;97761;s;renda_mensal;600.03
368;97762;n;renda_mensal;3600.0
369;97764;s;renda_mensal;1370.0
370;97765;s;renda_mensal;954.01
371;97766;s;renda_mensal;1001.0
372;97769;n;renda_mensal;0.0
373;97774;n;renda_mensal;2101.11
374;97777;s;renda_mensal;2571.8900000000003
375;97793;s;renda_mensal;1200.0
376;97805;s;renda_mensal;400.0
377;97806;s;renda_mensal;1000.0
378;97818;s;renda_mensal;1976.0
379;97823;n;renda_mensal;1858.2600000000002
380;97825;n;renda_mensal;1040.0
381;97827;n;renda_mensal;2408.0
382;97829;s;renda_mensal;2000.02
383;97834;s;renda_mensal;954.02
384;97850;s;renda_mensal;1754.01
385;97870;n;renda_mensal;0.0
386;97881;s;renda_mensal;2250.0300000000007
387;97889;s;renda_mensal;954.0
388;97898;s;renda_mensal;1400.0
389;97901;s;renda_mensal;2621.58
390;97903;s;renda_mensal;1388.0
391;97908;s;renda_mensal;1908.01
392;97920;n;renda_mensal;1650.02
393;97921;n;renda_mensal;1100.04
394;97924;n;renda_mensal;0.0
395;97948;n;renda_mensal;1359.58
396;97958;s;renda_mensal;1474.0
397;97971;n;renda_mensal;0.0
398;97981;s;renda_mensal;956.01
399;97989;s;renda_mensal;501.01
400;97991;s;renda_mensal;1024.62
401;97993;s;renda_mensal;1500.02
402;97996;s;renda_mensal;1500.01
403;97998;s;renda_mensal;2153.71
404;98003;s;renda_mensal;0.01
405;98021;s;renda_mensal;3738.130000000001
406;98041;s;renda_mensal;1.0
