id;inscricao;resultado;renda_media
420;89463;s;925.0
421;89467;s;468.225
422;89478;s;1317.2
423;89479;n;600.0
424;89487;s;312.3333333333333
425;89491;n;767.295
426;89502;s;85.2
427;89504;s;220.0
428;89505;s;1349.9775
429;89507;s;470.4266666666667
430;89508;s;715.0
431;89509;s;668.5
432;89512;s;954.0
433;89514;s;874.9975000000002
434;89515;s;312.34
435;89518;n;568.5
436;89519;s;1046.4
437;89521;s;1155.2224999999999
438;89522;s;266.6666666666667
439;89525;s;474.465
440;89526;s;580.75
441;89529;s;666.0
442;89531;s;767.1566666666668
443;89534;s;717.3333333333334
444;89539;s;833.25
445;89541;s;837.5
446;89547;s;380.0
447;89548;s;318.00666666666666
448;89559;s;1007.0
449;89562;s;477.0
450;89565;s;561.6666666666666
451;89568;s;190.8
452;89575;s;820.6
453;89579;n;1022.2525
454;89581;s;638.216
455;89582;s;623.3333333333334
456;89583;s;954.0
457;89586;s;536.5
458;89588;s;626.0
459;89589;s;900.0
460;89590;s;316.2
461;89592;s;855.0033333333334
462;89593;s;324.0
463;89597;s;1064.525
464;89598;s;500.0
465;89612;s;875.7966666666667
466;89614;s;550.0
467;89615;s;318.0
468;89619;s;333.71714285714285
469;89620;n;448.3333333333333
470;89625;s;1071.1833333333334
471;89631;n;751.7366666666667
472;89633;n;725.0
473;89638;s;544.6666666666666
474;89639;s;740.75
475;89645;s;814.46
476;89647;s;1225.2933333333333
477;89659;s;378.38166666666666
478;89660;s;850.0
479;89661;s;1055.5533333333333
480;89673;s;450.0
481;89674;s;1323.39
482;89678;s;420.65000000000003
483;89681;s;1128.5
484;89682;s;1292.82
485;89683;s;835.58
486;89684;s;800.0
487;89688;s;369.0
488;89692;s;265.0
489;89693;s;1073.0
490;89694;s;659.0
491;89697;s;613.11
492;89700;s;268.75
493;89709;s;432.5
494;89711;s;556.6666666666666
495;89712;s;1366.2033333333336
496;89715;s;877.3333333333334
497;89719;s;1408.8100000000002
498;89723;s;237.5
499;89727;s;487.5
500;89731;s;1186.9
501;89732;s;1138.7325
502;89743;s;521.8775
503;89747;s;328.62
504;89748;n;768.3333333333334
505;89761;s;980.182
506;89762;s;465.5
507;89767;s;1285.0
508;89769;n;212.2
509;89776;s;775.6800000000001
510;89777;n;1582.0933333333332
511;89781;n;950.0
512;89782;s;1100.0
513;89783;n;925.0
514;89785;s;477.0
515;89792;n;1075.0
516;89793;s;1239.3016666666667
517;89795;n;483.3333333333333
518;89798;n;1923.51
519;89799;s;305.3933333333333
520;89804;s;650.0
521;89806;s;667.0
522;89807;s;1038.775
523;89809;s;329.026
524;89810;s;1271.3333333333333
525;89813;s;212.5
526;89818;s;548.0
527;89821;s;425.63000000000005
528;89826;s;0.0
529;89828;s;653.75
530;89832;s;1150.7
531;89833;s;584.6666666666666
532;89844;s;530.9159999999999
533;89848;s;838.2275
534;89850;n;550.0
535;89853;s;1129.0
536;89855;s;569.3333333333334
537;89858;n;1000.0
538;89859;s;883.9000000000001
539;89864;s;583.3333333333334
540;89865;s;590.365
541;89868;s;350.44666666666666
542;89870;s;563.5
543;89879;s;375.6175
544;89883;s;1298.295
545;89894;n;532.58
546;89896;s;375.005
547;89897;s;500.0
548;89901;s;767.56
549;89902;s;861.8979999999999
550;89905;s;712.5
551;89906;n;318.0
552;89908;n;1466.28
553;89909;s;529.99
554;89918;s;773.5
555;89920;s;702.7525
556;89925;s;50.0
557;89926;s;350.0
558;89929;s;484.25
559;89934;n;846.4775
560;89939;s;878.8433333333332
561;89941;s;965.0
562;89947;s;566.6666666666666
563;89953;s;381.6
564;89956;s;318.0
565;89957;s;0.0
566;89962;s;300.0
567;89965;s;830.8525
568;89970;s;477.2
569;89977;s;0.0
570;89981;s;1019.205
571;89991;s;425.0
572;89995;s;375.0
573;89996;s;318.0
574;89997;s;916.8575
575;90000;s;621.985
576;90001;s;260.0
577;90004;s;1020.0
578;90007;s;423.75
579;90010;s;481.85
580;90011;s;477.0
581;90014;s;539.25
582;90016;s;477.0
583;90023;n;477.0
584;90025;s;492.6666666666667
585;90028;n;1200.0
586;90033;s;409.0
587;90036;s;704.52
588;90039;s;250.0
589;90042;s;210.415
590;90043;s;613.77
591;90045;s;437.0
592;90047;n;458.3333333333333
593;90048;n;0.0
594;90049;s;1206.1933333333334
595;90051;s;742.6666666666666
596;90053;s;400.0
597;90057;s;885.7975
598;90059;s;730.8
599;90060;n;1263.3466666666666
600;90063;s;948.7075
601;90068;s;427.812
602;90074;s;1034.35
603;90084;n;507.0
604;90085;s;424.3333333333333
605;90091;s;583.4024999999999
606;90092;s;433.3333333333333
607;90094;n;300.0
608;90095;s;436.31
609;90098;n;920.0
610;90101;n;1811.6625
611;90104;s;454.555
612;90106;s;400.0
613;90111;s;1068.5366666666666
614;90116;s;500.0
615;90117;s;1028.9733333333334
616;90121;s;162.33333333333334
617;90122;s;1360.8833333333334
618;90127;s;1212.9633333333334
619;90128;s;323.9925
620;90132;s;75.0
621;90136;n;400.0
622;90137;s;703.75
623;90138;s;333.3333333333333
624;90139;s;640.0
625;90141;s;625.2
626;90149;s;372.33
627;90150;s;437.6025
628;90158;s;218.898
629;90162;s;636.0
630;90167;s;1378.325
631;90170;s;858.7199999999999
632;90175;s;471.1025
633;90176;s;890.0
634;90186;s;739.3520000000001
635;90187;s;600.0
636;90188;s;744.35
637;90190;s;352.0
638;90193;s;306.0
639;90202;s;528.3333333333334
640;90208;s;476.3333333333333
641;90210;n;900.0
642;90211;s;673.2775
643;90212;s;312.3333333333333
644;90214;s;500.0
645;90216;s;273.25
646;90218;s;348.6666666666667
647;90219;n;608.5
648;90221;n;1200.0
649;90222;n;721.4766666666668
650;90226;s;600.0
651;90230;s;127.2
652;90231;s;462.0
653;90232;s;416.5
654;90233;s;431.365
655;90234;s;733.3333333333334
656;90236;n;400.0
657;90238;n;453.5825
658;90241;n;500.0
659;90243;s;1199.3799999999999
660;90244;s;630.0
661;90245;s;400.0
662;90246;n;336.3975
663;90247;s;475.0
664;90250;n;0.0
665;90259;s;407.0
666;90262;s;312.3333333333333
667;90263;s;393.625
668;90266;s;1290.67
669;90267;s;880.6666666666666
670;90273;s;312.3333333333333
671;90274;n;94.2
672;90275;s;283.3333333333333
673;90276;s;450.5225
674;90277;n;1500.0
675;90278;n;2162.516666666667
676;90280;s;192.8
677;90284;n;456.3157142857143
678;90290;s;160.83333333333334
679;90291;s;752.8425
680;90296;s;703.5
681;90297;s;655.89
682;90298;s;400.0
683;90300;s;678.88
684;90306;s;875.0
685;90308;n;1388.6666666666667
686;90309;n;1133.5675
687;90315;s;337.0
688;90319;s;881.4
689;90320;s;310.0
690;90321;s;300.0
691;90324;s;950.0
692;90332;n;600.0
693;90334;s;476.0
694;90338;s;350.0
695;90346;s;636.0
696;90351;n;300.0
697;90361;s;636.0
698;90362;s;636.0
699;90364;s;680.11
700;90365;s;570.0
701;90371;n;875.0
702;90376;n;200.0
703;90377;s;473.628
704;90579;s;300.0
705;91576;s;1125.0
706;92853;s;351.956
707;93017;s;660.0033333333333
708;93023;s;312.67333333333335
709;93175;s;833.3400000000001
710;93218;s;349.3333333333333
711;93679;s;666.6666666666666
712;93732;s;436.00600000000014
713;94025;s;300.0
714;94388;s;296.2
715;94615;s;550.0
716;95256;s;1090.0
717;95295;s;1139.575
718;95466;s;854.325
719;95481;n;468.5
720;95501;s;636.0
721;95538;s;560.0
722;95541;s;477.005
723;95545;s;350.0
724;95551;s;466.6666666666667
725;95554;n;1414.0
726;95566;s;625.0
727;95586;s;0.0
728;95598;s;233.34
729;95605;n;303.832
730;95609;s;700.0
731;95615;s;413.6666666666667
732;95617;s;500.0
733;95625;s;534.25
734;95654;s;559.44
735;95685;s;238.5
736;95687;s;492.5
737;95696;s;264.8333333333333
738;95699;s;604.8475
739;95702;s;400.0
740;95704;s;468.5
741;95707;s;612.3333333333334
742;95712;s;450.0
743;95721;s;534.5
744;95723;s;0.0
745;95728;s;482.5
746;95734;s;477.0
747;95751;s;300.0
748;95752;s;225.0
749;95757;s;424.53
750;95765;s;960.0
751;95770;s;622.5
752;95777;s;352.0
753;95778;s;616.5625
754;95780;n;120.0
755;95783;s;375.0
756;95787;s;760.0
757;95789;n;200.0
758;95791;s;251.25
759;95793;s;1065.0
760;95800;s;723.5975
761;95803;s;333.3333333333333
762;95806;s;360.0
763;95809;s;1657.6225
764;95810;s;375.0
765;95811;s;214.22
766;95817;s;543.0833333333334
767;95819;s;0.0
768;95822;s;0.0
769;95823;s;477.0
770;95843;s;163.5
771;95847;s;613.5
772;95848;s;395.0
773;95850;s;266.6666666666667
774;95854;s;687.64
775;95856;s;518.0
776;95858;s;250.0
777;95859;s;500.0
778;95860;s;575.0
779;95862;s;813.0
780;95864;s;590.8
781;95865;n;234.25
782;95866;s;0.0
783;95869;s;873.0
784;95870;s;318.0
785;95872;s;0.0
786;95875;s;250.0
787;95880;n;137.0
788;95886;s;1214.7450000000001
789;95894;s;1104.495
790;95899;s;325.0
791;95900;n;1894.0075
792;95902;s;422.01
793;95906;s;333.3333333333333
794;95911;s;1123.5
795;95913;n;320.0
796;95914;s;0.0
797;95916;s;655.0
798;95918;s;450.0
799;95921;n;318.0
800;95922;n;220.0
801;95926;s;200.0075
802;95927;n;300.0
803;95928;s;925.0
804;95929;n;500.0
805;95930;s;366.6666666666667
806;95933;s;0.0
807;95937;n;0.0
808;95940;s;1133.3333333333333
809;95942;s;371.0
810;95946;s;538.5
811;95948;s;499.75
812;95949;n;318.0
813;95955;s;234.25
814;95961;s;366.6666666666667
815;95965;n;1500.0
816;95967;s;460.0
817;95970;s;477.0
818;95981;s;220.13
819;95982;s;389.875
820;95984;n;477.0
821;95988;s;400.0
822;95997;s;784.25
823;95999;s;237.5
824;96002;s;636.0
825;96006;n;482.95200000000006
826;96007;n;318.0
827;96009;n;1744.0614285714287
828;96012;s;950.0
829;96013;s;800.0
830;96015;s;477.0
831;96016;s;475.0
832;96017;n;352.0
833;96018;n;1125.0
834;96021;s;400.0
835;96029;n;85.0
836;96037;s;213.0
837;96038;s;363.5
838;96039;s;849.0
839;96049;s;375.0
840;96052;s;300.0
841;96059;s;917.3333333333334
842;96060;s;375.0
843;96064;s;701.3333333333334
844;96065;s;238.75
845;96068;n;500.0
846;96080;s;636.0
847;96086;s;883.9866666666667
848;96098;s;297.25
849;96099;s;300.0
850;96100;s;875.0
851;96114;s;363.5
852;96115;s;438.53599999999994
853;96120;s;550.0
854;96127;s;732.0
855;96135;s;592.5
856;96137;s;395.0
857;96139;n;933.3333333333334
858;96141;s;650.0
859;96143;n;1000.0
860;96148;s;238.5
861;96159;s;588.8133333333334
862;96171;s;830.0
863;96173;s;825.0
864;96174;s;700.0
865;96176;s;318.0
866;96187;n;300.0
867;96195;s;250.0
868;96237;s;300.0
869;96241;n;0.0
870;96243;s;794.0
871;96244;s;600.0
872;96245;s;214.0
873;96307;s;477.83
874;96309;s;900.0
875;96310;s;420.7266666666667
876;96311;n;860.3333333333334
877;96312;n;1702.2733333333333
878;96316;n;1200.0
879;96317;s;769.885
880;96318;s;238.5
881;96320;s;1000.0075
882;96321;n;283.02
883;96322;s;1250.0
884;96323;n;600.0
885;96324;s;546.81
886;96327;s;535.9
887;96328;s;450.0
888;96331;s;764.0
889;96332;s;547.825
890;96333;s;757.5
891;96334;s;670.404
892;96335;s;865.35
893;96336;n;238.5
894;96337;s;1178.865
895;96338;s;505.855
896;96339;s;995.0
897;96341;s;1230.71
898;96343;n;477.0
899;96344;n;449.72800000000007
900;96345;s;38.160000000000004
901;96347;s;1005.9933333333333
902;96348;n;750.0
903;96353;s;159.00666666666666
904;96354;s;556.6666666666666
905;96356;s;468.5
906;96358;s;638.6075000000001
907;96360;s;666.6666666666666
908;96361;s;600.0
909;96362;s;671.0
910;96367;s;783.2633333333333
911;96368;s;566.6666666666666
912;96369;s;83.33333333333333
913;96370;n;600.0
914;96371;s;1048.5
915;96374;s;595.336
916;96375;s;1400.0
917;96376;s;715.5
918;96378;s;483.0
919;96380;s;500.0
920;96383;s;507.366
921;96385;s;420.0
922;96388;n;750.0075000000002
923;96390;s;318.0
924;96392;n;519.385
925;96395;s;426.40333333333336
926;96396;s;0.0
927;96397;s;802.5
928;96398;s;721.4866666666667
929;96399;s;238.5
930;96402;s;500.0
931;96405;s;191.4
932;96407;s;315.0
933;96408;s;600.0
934;96409;s;477.74
935;96410;n;1322.8880000000001
936;96411;s;600.0
937;96412;s;318.0
938;96413;s;942.0
939;96417;s;533.3333333333334
940;96418;s;233.33333333333334
941;96419;s;200.0
942;96420;s;266.6666666666667
943;96421;n;300.0
944;96424;s;715.5
945;96425;n;453.5
946;96427;s;252.2825
947;96428;s;1030.1999999999998
948;96429;s;612.0
949;96430;n;468.5
950;96431;s;730.0
951;96432;s;821.97
952;96433;s;600.0
953;96436;s;600.005
954;96438;n;1250.0
955;96440;n;493.3333333333333
956;96441;s;750.005
957;96442;s;458.5
958;96443;s;600.0
959;96444;s;925.0
960;96445;s;522.6666666666666
961;96446;s;1247.3999999999999
962;96448;s;615.4
963;96449;s;700.744
964;96451;s;925.0
965;96454;n;366.808
966;96456;n;287.6
967;96458;s;1131.315
968;96459;s;669.02
969;96460;s;1351.8
970;96461;s;350.0
971;96462;s;658.725
972;96467;n;477.0
973;96471;s;1150.0
974;96472;s;695.0
975;96473;s;450.0
976;96474;n;400.0
977;96479;s;1100.0
978;96481;s;954.0
979;96482;s;512.4233333333333
980;96483;n;1000.0
981;96485;s;398.33599999999996
982;96486;s;900.0033333333334
983;96488;s;624.0
984;96492;s;584.6666666666666
985;96493;n;0.0
986;96501;s;1265.0
987;96504;n;700.0
988;96506;s;308.75
989;96508;s;387.0
990;96511;s;242.5
991;96513;s;373.3333333333333
992;96514;s;1117.8
993;96515;s;1211.5
994;96516;s;1000.0
995;96520;s;435.96000000000004
996;96521;n;1235.0
997;96522;n;998.0
998;96523;s;869.0
999;96527;s;600.0
1000;96529;s;1312.935
1001;96530;s;200.0
1002;96532;s;450.0
1003;96533;s;318.0
1004;96534;n;300.0
1005;96535;n;526.1666666666666
1006;96536;s;318.0
1007;96537;s;954.0
1008;96538;s;650.0
1009;96540;s;1202.41
1010;96541;s;619.0
1011;96543;s;342.3333333333333
1012;96544;s;1000.0
1013;96545;n;750.0
1014;96547;s;530.0
1015;96548;s;1065.0
1016;96550;s;1216.54
1017;96551;s;1101.5
1018;96552;s;925.2166666666667
1019;96556;n;1000.0
1020;96558;s;561.805
1021;96559;s;896.0
1022;96560;s;0.0
1023;96561;n;314.0
1024;96563;s;468.5
1025;96564;n;486.8916666666667
1026;96567;s;237.5
1027;96570;s;675.065
1028;96571;s;1214.7166666666667
1029;96576;s;1040.0040000000001
1030;96577;n;320.0
1031;96579;s;677.0
1032;96580;s;863.5
1033;96581;s;280.0
1034;96584;n;0.0
1035;96585;s;544.25
1036;96586;s;789.025
1037;96591;n;318.0
1038;96592;s;388.505
1039;96593;s;407.5
1040;96595;s;646.8433333333334
1041;96597;n;0.0
1042;96598;s;286.2
1043;96600;s;623.83
1044;96601;s;1402.57
1045;96602;n;750.0
1046;96604;n;370.0
1047;96605;s;926.0
1048;96610;s;487.5
1049;96612;n;483.3333333333333
1050;96615;s;400.0
1051;96617;s;255.0
1052;96622;s;603.275
1053;96624;s;661.5
1054;96625;s;636.0
1055;96627;s;411.226
1056;96628;n;225.33333333333334
1057;96631;s;903.75
1058;96632;s;967.2425000000001
1059;96633;s;200.0
1060;96634;s;1135.4833333333333
1061;96635;s;718.215
1062;96637;s;190.0
1063;96639;s;667.3333333333334
1064;96641;n;1815.0766666666666
1065;96642;s;790.7325000000001
1066;96643;s;318.0
1067;96644;s;233.33333333333334
1068;96651;s;0.0
1069;96653;n;663.7825
1070;96654;s;500.0
1071;96658;s;800.005
1072;96659;s;800.0
1073;96663;s;1072.625
1074;96666;n;2578.682
1075;96669;s;403.57
1076;96673;s;569.1383333333333
1077;96674;s;617.0
1078;96675;n;550.0
1079;96677;s;544.9933333333333
1080;96678;s;400.0
1081;96679;s;711.99
1082;96682;s;130.0
1083;96683;s;942.955
1084;96685;s;1127.365
1085;96686;s;350.0
1086;96688;s;519.35
1087;96689;s;807.155
1088;96691;s;238.5
1089;96694;s;465.0
1090;96696;n;900.0
1091;96697;n;823.5
1092;96698;s;387.8333333333333
1093;96700;n;2000.0
1094;96701;s;592.5
1095;96702;s;770.758
1096;96703;n;2000.0
1097;96706;n;500.0
1098;96708;n;442.33
1099;96716;s;313.3333333333333
1100;96718;n;1361.315
1101;96719;s;894.0066666666667
1102;96724;s;526.75
1103;96725;n;1385.95
1104;96726;n;200.0
1105;96727;s;663.1775
1106;96728;s;362.5
1107;96731;s;477.0
1108;96732;s;680.7025
1109;96738;s;680.0
1110;96744;s;600.0
1111;96745;s;425.0
1112;96747;s;300.0
1113;96749;s;818.1100000000001
1114;96755;s;896.13
1115;96756;s;575.0
1116;96758;s;451.7966666666667
1117;96761;s;200.0075
1118;96764;s;1173.0
1119;96767;n;1824.8775
1120;96768;s;636.0
1121;96770;s;550.0
1122;96773;s;732.5
1123;96774;s;500.0
1124;96775;s;733.3333333333334
1125;96776;s;312.3333333333333
1126;96780;s;989.6525
1127;96781;s;354.6033333333333
1128;96784;s;250.0
1129;96787;s;735.0
1130;96788;n;463.82666666666665
1131;96790;n;1457.4725
