codigo;deferimento;renda_mensal
89164;s;
89164;s;
88948;s;1000
88948;s;310
89218;s;
89218;s;3775.36
89218;s;
89218;s;1200
88685;s;
88685;s;1599.67
88685;s;530
89694;s;320
89694;s;998
89678;s;
89678;s;
89682;s;1301.82
89682;s;
89682;s;
89682;s;3869.46
89674;s;2854.34
89674;s;
89674;s;1115.83
89413;s;
89413;s;2914.23
89413;s;
89582;s;
89582;s;
89582;s;1870
96148;s;
96148;s;
96148;s;
96148;s;954
95723;s;
95981;s;468.5
95981;s;0.01
95981;s;0.01
95981;s;412
88916;s;1500
88916;s;
89137;s;1823.03
89137;s;
89137;s;550
95615;s;
95615;s;1241
95615;s;
88760;s;
88760;s;5000
88760;s;
88760;s;
88760;s;
88760;s;
88280;s;516
88280;s;1200
89300;s;798.6
89300;s;2000
89300;s;
89300;s;1096
88916;s;2500
89684;s;
89684;s;1600
89684;s;800
96064;s;
96064;s;954
96064;s;1150
88129;s;3203.56
89047;s;410
89047;s;450
89047;s;450
88319;s;
88319;s;
88319;s;954
88129;s;
88129;s;
88129;s;937
89450;s;
89450;s;2668.6
89450;s;
88841;s;
88841;s;2100
88841;s;
88841;s;
90361;s;954
90361;s;
90361;s;954
89442;s;869.43
89442;s;1470.99
89673;s;900
89673;s;
89271;s;864.85
89271;s;1208.06
89271;s;
95806;s;800
95806;s;
95806;s;
95806;s;
95806;s;1000
89442;s;
89442;s;
89450;s;
88397;s;
88810;s;
88810;s;
88810;s;954
90365;s;954
90365;s;
90365;s;
90365;s;1326
88241;s;
88241;s;
88241;s;1500
88301;s;
88301;s;
88301;s;90
88301;s;
88301;s;1300
88397;s;2000
88397;s;
88397;s;
88397;s;
88401;s;1513.32
95916;s;
95916;s;1065
95916;s;900
89165;s;1361.78
88401;s;
89448;s;
89448;s;
89448;s;2334
89448;s;
89448;s;
89448;s;
90039;s;
90039;s;
90039;s;1000
90039;s;
89883;s;2596.59
89883;s;
88401;s;400
88401;s;
88784;s;1802.68
88784;s;954
88784;s;
88021;s;1400
88021;s;
88021;s;
89189;s;
88021;s;
88374;s;1748
88374;s;2529.07
88374;s;
88374;s;
89507;s;1411.28
89507;s;
89507;s;
88211;s;
88211;s;
88211;s;
88211;s;937
88211;s;
88211;s;
88973;s;
88973;s;
88973;s;
88973;s;1100
88102;s;
88102;s;
88102;s;1156
88951;s;1641.2
88951;s;479
88951;s;479
96173;s;
96173;s;
96173;s;2475
90127;s;1553.96
90127;s;1065
95817;s;
95817;s;
95817;s;1837.95
95817;s;
95817;s;1420.55
95817;s;
90127;s;1019.93
96441;s;0.01
96441;s;1500
90230;s;
90230;s;
90230;s;
90230;s;
90230;s;636
90276;s;
90276;s;1802.09
90276;s;
90276;s;
95787;s;
95787;s;
95787;s;2280
88196;s;
88196;s;300
88196;s;1070
88196;s;
90001;s;
90001;s;
90001;s;1300
90001;s;
90001;s;
88010;s;954
88010;s;
88010;s;954
88010;s;
88776;s;
88776;s;1100
88776;s;
88776;s;
88927;s;1549.52
88927;s;477
88927;s;477
95541;s;0.01
95541;s;954
95823;s;
95823;s;954
89091;s;1166.86
89091;s;
89091;s;954
88324;s;1200
88324;s;
88324;s;
88324;s;2019
89519;s;524.59
89519;s;1257.71
89519;s;1356.9
88469;s;2630.64
88469;s;
88469;s;
96086;s;
96086;s;2651.96
96086;s;
95765;s;
89199;s;
89199;s;
88318;s;
88318;s;
88318;s;
88318;s;
88318;s;3800
95765;s;3840
95765;s;
95765;s;
89199;s;937
89199;s;4266.09
89660;s;200
89660;s;1500
89280;s;
89280;s;
89280;s;1000
88428;s;340
88428;s;1491.8
89539;s;2000
89539;s;
89539;s;
89539;s;1333
89406;s;
89406;s;3112.55
89406;s;
87994;s;1080
87994;s;
88688;s;2445.88
88688;s;
88688;s;
90202;s;1585
90202;s;
90202;s;
88524;s;800
88524;s;700
88524;s;
88524;s;
89128;s;
89128;s;954
89128;s;
89128;s;
89128;s;
89620;n;
89620;n;
89620;n;1345
90278;n;2716.09
90278;n;
90278;n;3771.46
88540;s;
88540;s;1674
88540;s;300
90068;s;2139.06
90068;s;
90068;s;
90068;s;
90068;s;
88594;s;
88594;s;
88594;s;
88594;s;2000
88671;s;
88671;s;
88671;s;1300
88671;s;937
95929;n;500
89514;s;1166.66
89514;s;1166.66
89514;s;1166.66
88732;s;
88732;s;2453.67
88732;s;
89514;s;0.01
88716;s;
88716;s;
88716;s;1359.85
88716;s;1100.69
90149;s;744.66
90149;s;
88813;s;468.5
88813;s;
88813;s;1550
88813;s;
89902;s;400
89902;s;
89902;s;
89902;s;3909.49
89902;s;
96065;s;
96065;s;955
96065;s;
96065;s;
95501;s;954
95501;s;954
95777;s;
95777;s;
95777;s;1056
95501;s;
89463;s;1200
89463;s;
89463;s;2500
89463;s;
88422;s;1144.9
88422;s;
88422;s;980
89096;s;
89253;s;
89253;s;
